pickup_datetime,dropoff_datetime,passenger_count,trip_distance,pickup_location_id
2019-01-03 00:14:56.000000 UTC,2019-01-03 00:19:26.000000 UTC,1,0.7,255
2019-01-03 00:15:18.000000 UTC,2019-01-03 00:24:55.000000 UTC,1,2.14,41
2019-01-03 00:15:22.000000 UTC,2019-01-03 00:17:38.000000 UTC,5,0.58,49
2019-01-03 00:15:26.000000 UTC,2019-01-03 00:22:14.000000 UTC,2,2.1,74
2019-01-03 00:15:30.000000 UTC,2019-01-03 00:19:03.000000 UTC,1,0.89,95
2019-01-03 00:15:48.000000 UTC,2019-01-03 00:22:06.000000 UTC,1,2.82,130
2019-01-03 00:15:49.000000 UTC,2019-01-03 00:27:48.000000 UTC,4,5.2,196
2019-01-03 00:15:55.000000 UTC,2019-01-03 00:21:52.000000 UTC,1,2.33,75
2019-01-03 00:16:32.000000 UTC,2019-01-03 00:18:54.000000 UTC,1,0.53,181
2019-01-03 00:16:32.000000 UTC,2019-01-03 00:18:54.000000 UTC,1,0.53,181
2019-01-03 00:16:42.000000 UTC,2019-01-03 00:24:02.000000 UTC,1,1.59,95
2019-01-03 00:16:52.000000 UTC,2019-01-03 00:34:24.000000 UTC,1,3.49,255
2019-01-03 00:17:14.000000 UTC,2019-01-03 00:23:12.000000 UTC,1,1.59,41
2019-01-03 00:17:29.000000 UTC,2019-01-03 00:30:55.000000 UTC,1,4.16,7
2019-01-03 00:17:51.000000 UTC,2019-01-03 00:24:05.000000 UTC,1,1.18,7
2019-01-03 00:18:09.000000 UTC,2019-01-03 00:18:13.000000 UTC,1,0,244
2019-01-03 00:18:13.000000 UTC,2019-01-03 00:39:08.000000 UTC,1,1.5,82
2019-01-03 00:18:22.000000 UTC,2019-01-03 00:20:07.000000 UTC,1,0.53,256
2019-01-03 00:18:27.000000 UTC,2019-01-03 00:21:24.000000 UTC,1,0.7,243
2019-01-03 00:18:28.000000 UTC,2019-01-03 00:28:49.000000 UTC,1,2.3,83
2019-01-03 00:18:38.000000 UTC,2019-01-03 00:26:13.000000 UTC,1,1.73,244
2019-01-03 00:18:40.000000 UTC,2019-01-03 00:26:49.000000 UTC,1,1.7,256
2019-01-03 00:18:54.000000 UTC,2019-01-03 00:34:47.000000 UTC,1,3.1,260
2019-01-03 00:19:12.000000 UTC,2019-01-03 00:24:20.000000 UTC,1,0.95,112
2019-01-03 00:19:12.000000 UTC,2019-01-03 00:26:25.000000 UTC,1,0.97,82
2019-01-03 00:19:13.000000 UTC,2019-01-03 00:23:04.000000 UTC,1,0.68,82
2019-01-03 00:19:19.000000 UTC,2019-01-03 00:32:55.000000 UTC,1,2.7,244
2019-01-03 00:19:43.000000 UTC,2019-01-03 00:30:43.000000 UTC,1,2.37,75
2019-01-03 00:19:51.000000 UTC,2019-01-03 00:41:12.000000 UTC,1,7.74,166
2019-01-03 00:20:16.000000 UTC,2019-01-03 00:25:04.000000 UTC,1,0.99,65
2019-01-03 00:20:22.000000 UTC,2019-01-03 00:24:11.000000 UTC,4,0.58,129
2019-01-03 00:20:37.000000 UTC,2019-01-03 00:30:37.000000 UTC,1,2.89,130
2019-01-03 00:20:46.000000 UTC,2019-01-03 00:34:23.000000 UTC,1,2.64,129
2019-01-03 00:21:08.000000 UTC,2019-01-03 00:32:49.000000 UTC,1,2.69,7
2019-01-03 00:21:24.000000 UTC,2019-01-03 00:37:07.000000 UTC,1,4.62,25
2019-01-03 00:21:30.000000 UTC,2019-01-03 00:36:04.000000 UTC,1,5.63,92
2019-01-03 00:21:30.000000 UTC,2019-01-03 00:29:47.000000 UTC,1,2.22,92
2019-01-03 00:21:36.000000 UTC,2019-01-03 00:25:46.000000 UTC,1,0.73,7
2019-01-03 00:21:52.000000 UTC,2019-01-03 00:33:53.000000 UTC,1,3.48,65
2019-01-03 00:22:17.000000 UTC,2019-01-03 00:39:36.000000 UTC,2,3.09,66
2019-01-03 00:22:20.000000 UTC,2019-01-03 00:27:45.000000 UTC,1,1.59,25
2019-01-03 00:22:54.000000 UTC,2019-01-03 00:35:06.000000 UTC,2,3.3,25
2019-01-03 00:22:59.000000 UTC,2019-01-03 00:44:29.000000 UTC,1,6,80
2019-01-03 00:23:10.000000 UTC,2019-01-03 00:30:25.000000 UTC,1,1.23,181
2019-01-03 00:23:16.000000 UTC,2019-01-03 00:30:23.000000 UTC,1,1.3,181
2019-01-03 00:23:18.000000 UTC,2019-01-03 23:17:04.000000 UTC,1,0.77,61
2019-01-03 00:23:33.000000 UTC,2019-01-03 01:02:26.000000 UTC,0,5.56,65
2019-01-03 00:23:42.000000 UTC,2019-01-03 00:29:04.000000 UTC,1,0.98,166
2019-01-03 00:24:25.000000 UTC,2019-01-03 00:29:20.000000 UTC,1,0.92,134
2019-01-03 00:24:33.000000 UTC,2019-01-03 00:30:44.000000 UTC,1,1.4,7
2019-01-03 00:24:42.000000 UTC,2019-01-03 00:39:04.000000 UTC,1,4.43,145
